,ticker_symbol,day_date,close_value
868,AAPL,2016-12-14,115.19
869,AAPL,2016-12-13,115.19
870,AAPL,2016-12-12,113.3
871,AAPL,2016-12-09,113.95
872,AAPL,2016-12-08,112.12
873,AAPL,2016-12-07,111.03
874,AAPL,2016-12-06,109.95
875,AAPL,2016-12-05,109.11
876,AAPL,2016-12-02,109.9
877,AAPL,2016-12-01,109.49
878,AAPL,2016-11-30,110.52
879,AAPL,2016-11-29,111.46
880,AAPL,2016-11-28,111.57
881,AAPL,2016-11-25,111.79
882,AAPL,2016-11-23,111.23
883,AAPL,2016-11-22,111.8
884,AAPL,2016-11-21,111.73
885,AAPL,2016-11-18,110.06
886,AAPL,2016-11-17,109.95
887,AAPL,2016-11-16,109.99
888,AAPL,2016-11-15,107.11
889,AAPL,2016-11-14,105.71
890,AAPL,2016-11-11,108.43
891,AAPL,2016-11-10,107.79
892,AAPL,2016-11-09,110.88
893,AAPL,2016-11-08,111.06
894,AAPL,2016-11-07,110.41
895,AAPL,2016-11-04,108.84
896,AAPL,2016-11-03,109.83
897,AAPL,2016-11-02,111.59
898,AAPL,2016-11-01,111.49
899,AAPL,2016-10-31,113.54
900,AAPL,2016-10-28,113.72
901,AAPL,2016-10-27,114.48
902,AAPL,2016-10-26,115.59
903,AAPL,2016-10-25,118.25
904,AAPL,2016-10-24,117.65
905,AAPL,2016-10-21,116.6
906,AAPL,2016-10-20,117.06
907,AAPL,2016-10-19,117.12
908,AAPL,2016-10-18,117.47
909,AAPL,2016-10-17,117.55
910,AAPL,2016-10-14,117.63
911,AAPL,2016-10-13,116.98
912,AAPL,2016-10-12,117.34
913,AAPL,2016-10-11,116.3
914,AAPL,2016-10-10,116.05
915,AAPL,2016-10-07,114.06
916,AAPL,2016-10-06,113.89
917,AAPL,2016-10-05,113.05
918,AAPL,2016-10-04,113.0
919,AAPL,2016-10-03,112.52
920,AAPL,2016-09-30,113.05
921,AAPL,2016-09-29,112.18
922,AAPL,2016-09-28,113.95
923,AAPL,2016-09-27,113.09
924,AAPL,2016-09-26,112.88
925,AAPL,2016-09-23,112.71
926,AAPL,2016-09-22,114.62
927,AAPL,2016-09-21,113.55
928,AAPL,2016-09-20,113.57
929,AAPL,2016-09-19,113.58
930,AAPL,2016-09-16,114.92
931,AAPL,2016-09-15,115.57
932,AAPL,2016-09-14,111.77
933,AAPL,2016-09-13,107.95
934,AAPL,2016-09-12,105.44
935,AAPL,2016-09-09,103.13
936,AAPL,2016-09-08,105.52
937,AAPL,2016-09-07,108.36
938,AAPL,2016-09-06,107.7
939,AAPL,2016-09-02,107.73
940,AAPL,2016-09-01,106.73
941,AAPL,2016-08-31,106.1
942,AAPL,2016-08-30,106.0
943,AAPL,2016-08-29,106.82
944,AAPL,2016-08-26,106.94
945,AAPL,2016-08-25,107.57
946,AAPL,2016-08-24,108.03
947,AAPL,2016-08-23,108.85
